id,num_of_labels
Biology_78_r,3
Biology_tweet_155_r,3
Biology_170_r,3
Biology_26_r,3
Biology_438_r,3
Biology_269_p,3
Biology_2_r,3
Biology_0_r,3
Biology_434_r,3
Biology_tweet_57_p,3
Biology_tweet_57_r,3
Biology_0_p,3
Biology_226_r,3
Biology_434_p,3
Biology_269_r,3
Biology_226_p,3
Biology_2_p,3
Biology_tweet_43_p,2
Biology_tweet_179_p,2
Biology_tweet_179_r,2
Biology_465_r,2
Biology_tweet_43_r,2
Biology_465_p,2
Biology_382_r,2
Biology_420_p,2
Biology_420_r,2
Biology_158_r,2
Biology_158_p,2
Biology_tweet_121_r,2
Biology_404_r,2
Biology_443_r,2
Biology_404_p,2
Biology_443_p,2
Biology_322_p,2
Biology_tweet_121_p,2
Biology_144_r,2
Biology_tweet_44_r,3
Biology_152_p,2
Biology_452_r,3
Biology_152_r,2
Biology_144_p,2
Biology_430_r,3
Biology_452_p,3
Biology_tweet_295_p,2
Biology_tweet_44_p,3
Biology_tweet_295_r,2
Biology_430_p,2
Biology_tweet_124_p,3
Biology_448_p,3
Biology_448_r,3
Biology_124_p,3
Biology_174_p,3
Biology_505_r,3
Biology_505_p,3
Biology_tweet_124_r,3
Biology_124_r,3
Biology_174_r,3
Biology_tweet_11_r,3
Biology_tweet_11_p,3
Biology_446_p,2
Biology_437_p,1
Biology_tweet_101_p,2
Biology_66_r,2
Biology_435_r,1
Biology_tweet_101_r,1
Biology_tweet_107_r,2
Biology_437_r,1
Biology_435_p,1
Biology_446_r,2
Biology_tweet_107_p,2
Biology_66_p,2
Biology_485_r,3
Biology_485_p,3
Biology_181_r,3
Biology_117_r,3
Biology_117_p,3
Biology_413_r,3
Biology_156_r,3
Biology_216_r,3
Biology_tweet_123_p,3
Biology_216_p,3
Biology_tweet_67_p,3
Biology_293_r,3
Biology_tweet_67_r,3
Biology_tweet_123_r,3
Biology_413_p,3
Biology_293_p,3
Biology_156_p,3
Biology_111_p,1
Biology_tweet_190_p,1
Biology_113_r,1
Biology_322_r,1
Biology_tweet_190_r,1
Biology_113_p,1
Biology_tweet_96_r,3
Biology_97_p,3
Biology_tweet_96_p,3
Biology_97_r,3
Biology_tweet_110_r,3
Biology_99_p,3
Biology_tweet_110_p,3
